ratio,coeff_0,coeff_1,coeff_2
1_ND,5,,
0.1,2.659,-0.6865,-0.1462
0.25,2.6216,-0.6927,-0.1163
0.3,2.6003,-0.6851,-0.1054
0.4,2.5473,-0.6493,-0.0947
0.5,2.4752,-0.5682,-0.119
2_ND,5,,
0.1,2.6225,-0.6682,-0.1405
0.25,2.5824,-0.6762,-0.1122
0.3,2.5576,-0.6686,-0.0996
0.4,2.494,-0.6294,-0.0829
0.5,2.4061,-0.5355,-0.106
3_ND,5,,
0.1,2.5859,-0.6447,-0.1381
0.25,2.544,-0.6528,-0.1105
0.3,2.5172,-0.6453,-0.0982
0.4,2.4454,-0.6035,-0.0776
0.5,2.344,-0.495,-0.1025
4_ND,5,,
0.1,2.5447,-0.6222,-0.1332
0.25,2.5016,-0.6298,-0.1071
0.3,2.473,-0.6226,-0.0947
0.4,2.3917,-0.5773,-0.0694
0.5,2.2743,-0.4524,-0.0948
MSE1,5,,
0.1,2.659,-0.6865,-0.1462
0.25,2.6216,-0.6927,-0.1163
0.3,2.6003,-0.6851,-0.1054
0.4,2.5473,-0.6493,-0.0947
0.5,2.4752,-0.5682,-0.119
MSE2,5,,
0.1,2.6225,-0.6682,-0.1405
0.25,2.5824,-0.6762,-0.1122
0.3,2.5576,-0.6686,-0.0996
0.4,2.494,-0.6294,-0.0829
0.5,2.4061,-0.5355,-0.106
MSE3,5,,
0.1,2.5859,-0.6447,-0.1381
0.25,2.544,-0.6528,-0.1105
0.3,2.5172,-0.6453,-0.0982
0.4,2.4454,-0.6035,-0.0776
0.5,2.344,-0.495,-0.1025
MSE4,5,,
0.1,2.5447,-0.6222,-0.1332
0.25,2.5016,-0.6298,-0.1071
0.3,2.473,-0.6226,-0.0947
0.4,2.3917,-0.5773,-0.0694
0.5,2.2743,-0.4524,-0.0948
MSE5,5,,
0.1,2.4922,-0.5871,-0.13
0.25,2.4485,-0.5944,-0.1073
0.3,2.4176,-0.5866,-0.093
0.4,2.3275,-0.5372,-0.0647
0.5,2.1929,-0.3911,-0.0933
MSE6,5,,
0.1,2.4487,-0.5669,-0.1228
0.25,2.4045,-0.5735,-0.1011
0.3,2.371,-0.5655,-0.0847
0.4,2.2723,-0.5137,-0.0509
0.5,2.1193,-0.3481,-0.078
MSEDMV_4,5,,
0.1,2.3226,-0.6912,-0.0995
0.25,2.2634,-0.6853,-0.0669
0.3,2.2319,-0.6691,-0.0541
0.4,2.161,-0.6085,-0.0515
0.5,2.0749,-0.5054,-0.0824
MSE_DMV_5,5,,
0.1,2.2783,-0.6609,-0.099
0.25,2.2176,-0.6543,-0.0671
0.3,2.1839,-0.6384,-0.0538
0.4,2.1047,-0.5717,-0.0457
0.5,2.011,-0.4545,-0.0743
MSE_DMV_6,5,,
0.1,2.241,-0.64,-0.0949
0.25,2.178,-0.6346,-0.0594
0.3,2.1425,-0.619,-0.0454
0.4,2.0544,-0.5452,-0.0294
0.5,1.9566,-0.4108,-0.0723
NOAA_A,5,,
0.1,2.5796,-0.6312,-0.1451
0.25,2.539,-0.6368,-0.1203
0.3,2.5126,-0.6315,-0.1087
0.4,2.4423,-0.5887,-0.0921
0.5,2.3435,-0.4789,-0.1246
NOAA_B,5,,
0.1,2.5352,-0.603,-0.1433
0.25,2.4928,-0.6109,-0.1197
0.3,2.4646,-0.6035,-0.1085
0.4,2.3852,-0.5578,-0.0886
0.5,2.2713,-0.4318,-0.124
NOAA_C,5,,
0.1,2.4928,-0.585,-0.137
0.25,2.4494,-0.5928,-0.1154
0.3,2.4182,-0.5857,-0.1018
0.4,2.3289,-0.5381,-0.0754
0.5,2.1955,-0.3952,-0.1077
NOAA_D,5,,
0.1,2.4504,-0.5651,-0.1233
0.25,2.4067,-0.5713,-0.1024
0.3,2.3736,-0.5624,-0.0866
0.4,2.2763,-0.5109,-0.056
0.5,2.1265,-0.3442,-0.0908
DMV_B,5,,
0.1,2.3153,-0.6722,-0.1076
0.25,2.2258,-0.6709,-0.0798
0.3,2.2276,-0.6553,-0.0694
0.4,2.1596,-0.5969,-0.0721
0.5,2.0773,-0.5054,-0.1001
DMV_C,5,,
0.1,2.2789,-0.6589,-0.1045
